config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
ugi,u+g+i,5500.0,-3.0,RGB,0,0.339,1.6796,0.9254,-0.1229,-10.83
ugi,u+g+i,5500.0,-3.0,RGB,1,0.4515,1.5826,0.8291,1.4757,-11.8
ugi,u+g+i,5500.0,-3.0,RGB,2,0.3905,1.4447,0.9448,-0.3068,-10.76
ugi,u+g+i,5500.0,-3.0,MS,0,0.3365,1.7718,0.8431,-0.2244,-10.47
ugi,u+g+i,5500.0,-3.0,MS,1,0.2285,1.7664,0.9318,0.0652,-10.6
ugi,u+g+i,5500.0,-3.0,MS,2,0.5285,1.3802,0.8025,-0.7929,-10.99
ugi,u+g+i,5500.0,-2.0,RGB,0,0.4085,1.8884,1.0352,0.3907,-11.43
ugi,u+g+i,5500.0,-2.0,RGB,1,0.3835,1.6448,0.9024,-1.4024,-10.41
ugi,u+g+i,5500.0,-2.0,RGB,2,0.372,1.5288,0.8671,-1.611,-11.09
ugi,u+g+i,5500.0,-2.0,MS,0,0.299,1.8138,1.027,-0.5545,-11.3
ugi,u+g+i,5500.0,-2.0,MS,1,0.3415,1.8462,0.9714,0.0205,-11.47
ugi,u+g+i,5500.0,-2.0,MS,2,0.456,1.7068,0.7843,-1.53,-11.23
ugi,u+g+i,5500.0,-1.0,RGB,0,0.1855,1.6752,0.9364,-1.7894,-11.05
ugi,u+g+i,5500.0,-1.0,RGB,1,0.478,1.5652,0.532,-0.1744,-11.91
ugi,u+g+i,5500.0,-1.0,RGB,2,0.388,1.7276,0.8135,-0.3998,-12.24
ugi,u+g+i,5500.0,-1.0,MS,0,0.268,1.6951,0.9353,-0.8899,-11.63
ugi,u+g+i,5500.0,-1.0,MS,1,0.404,1.6038,0.3788,0.1582,-11.85
ugi,u+g+i,5500.0,-1.0,MS,2,0.5,1.7446,0.3587,0.0214,-12.11
