config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
magic3,CaHK+g+i,5000.0,-1.0,MS,0,0.54,1.3412,0.4621,0.8445,-13.05
magic3,CaHK+g+i,5000.0,-1.0,MS,1,0.5865,1.5682,0.4556,0.017,-12.8
magic3,CaHK+g+i,5000.0,-1.0,MS,2,0.588,1.5503,0.3994,-0.108,-12.76
magic3,CaHK+g+i,5500.0,-3.0,RGB,0,0.415,1.367,0.6978,-0.7659,-11.54
magic3,CaHK+g+i,5500.0,-3.0,RGB,1,0.431,1.6635,0.7464,0.98,-12.61
magic3,CaHK+g+i,5500.0,-3.0,RGB,2,0.3555,1.7762,0.7242,-0.4263,-11.44
magic3,CaHK+g+i,5500.0,-3.0,MS,0,0.2285,1.86,0.7211,0.2889,-11.37
magic3,CaHK+g+i,5500.0,-3.0,MS,1,0.2905,1.887,0.776,-0.077,-11.56
magic3,CaHK+g+i,5500.0,-3.0,MS,2,0.32,1.8208,0.759,-0.3829,-11.47
magic3,CaHK+g+i,5500.0,-2.0,RGB,0,0.3105,1.986,0.704,-0.3724,-11.74
magic3,CaHK+g+i,5500.0,-2.0,RGB,1,0.233,1.8479,0.7525,-0.5849,-11.46
magic3,CaHK+g+i,5500.0,-2.0,RGB,2,0.2865,1.9813,0.7676,-1.0202,-11.17
magic3,CaHK+g+i,5500.0,-2.0,MS,0,0.447,1.8162,0.3203,0.0882,-12.22
magic3,CaHK+g+i,5500.0,-2.0,MS,1,0.453,1.6245,0.3929,0.1793,-12.87
magic3,CaHK+g+i,5500.0,-2.0,MS,2,0.3305,1.8952,0.8458,-1.0603,-12.03
magic3,CaHK+g+i,5500.0,-1.0,RGB,0,0.5315,1.3884,0.3508,-0.1822,-12.64
magic3,CaHK+g+i,5500.0,-1.0,RGB,1,0.524,1.5994,0.4425,0.0275,-13.37
magic3,CaHK+g+i,5500.0,-1.0,RGB,2,0.645,1.4621,0.3462,-0.2062,-13.2
magic3,CaHK+g+i,5500.0,-1.0,MS,0,0.58,1.4691,0.4113,0.027,-12.68
magic3,CaHK+g+i,5500.0,-1.0,MS,1,0.564,1.5384,0.4487,0.3624,-12.45
magic3,CaHK+g+i,5500.0,-1.0,MS,2,0.603,1.3483,0.3417,-0.2861,-12.73
