config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
u-magic3,u+CaHK+g+i,5000.0,-1.0,RGB,0,0.2325,1.2262,0.3548,0.3818,-14.59
u-magic3,u+CaHK+g+i,5000.0,-1.0,RGB,1,0.091,1.1509,0.3547,-0.0876,-14.22
u-magic3,u+CaHK+g+i,5000.0,-1.0,RGB,2,0.011,0.8446,0.2774,-0.3313,-14.95
u-magic3,u+CaHK+g+i,5000.0,-1.0,MS,0,0.4,0.9262,0.2879,0.7408,-14.55
u-magic3,u+CaHK+g+i,5000.0,-1.0,MS,1,0.709,0.9442,0.3447,0.1929,-13.54
u-magic3,u+CaHK+g+i,5000.0,-1.0,MS,2,0.0805,1.2907,0.3755,-0.4366,-14.11
u-magic3,u+CaHK+g+i,5500.0,-3.0,RGB,0,0.295,1.2233,0.7244,-0.8318,-11.85
u-magic3,u+CaHK+g+i,5500.0,-3.0,RGB,1,0.1805,1.6035,0.8367,0.633,-13.1
u-magic3,u+CaHK+g+i,5500.0,-3.0,RGB,2,0.5315,1.6634,0.8,-0.2539,-11.71
u-magic3,u+CaHK+g+i,5500.0,-3.0,MS,0,0.325,1.9435,0.6638,0.2633,-11.81
u-magic3,u+CaHK+g+i,5500.0,-3.0,MS,1,0.162,1.6531,0.7657,-0.2689,-11.5
u-magic3,u+CaHK+g+i,5500.0,-3.0,MS,2,0.62,1.6023,0.735,-0.5582,-11.89
u-magic3,u+CaHK+g+i,5500.0,-2.0,RGB,0,0.124,1.5668,0.62,-0.6145,-12.63
u-magic3,u+CaHK+g+i,5500.0,-2.0,RGB,1,0.43,1.8171,0.6628,-0.2232,-12.09
u-magic3,u+CaHK+g+i,5500.0,-2.0,RGB,2,0.4725,1.902,0.7189,-0.8319,-12.18
u-magic3,u+CaHK+g+i,5500.0,-2.0,MS,0,0.503,1.4951,0.3414,0.2028,-12.8
u-magic3,u+CaHK+g+i,5500.0,-2.0,MS,1,0.5315,1.6497,0.4212,0.1737,-13.33
u-magic3,u+CaHK+g+i,5500.0,-2.0,MS,2,0.527,1.6496,0.6536,-0.7941,-12.6
u-magic3,u+CaHK+g+i,5500.0,-1.0,RGB,0,0.2385,1.2874,0.258,-0.2652,-15.72
u-magic3,u+CaHK+g+i,5500.0,-1.0,RGB,1,0.53,1.3825,0.2872,-0.0795,-13.16
u-magic3,u+CaHK+g+i,5500.0,-1.0,RGB,2,0.435,1.5447,0.3297,-0.2472,-13.25
u-magic3,u+CaHK+g+i,5500.0,-1.0,MS,0,0.201,1.3179,0.2912,-0.1556,-14.65
u-magic3,u+CaHK+g+i,5500.0,-1.0,MS,1,0.3375,1.3369,0.3726,0.2266,-13.3
u-magic3,u+CaHK+g+i,5500.0,-1.0,MS,2,0.7605,1.2099,0.3983,-0.1841,-13.72
