config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
no-u,CaHK+g+r+i,5000.0,-1.0,RGB,1,0.543,1.3524,0.3769,0.2534,-13.3
no-u,CaHK+g+r+i,5000.0,-1.0,RGB,2,0.607,1.3012,0.3667,0.1573,-14.09
no-u,CaHK+g+r+i,5000.0,-1.0,MS,0,0.4175,1.4714,0.3933,0.4701,-14.93
no-u,CaHK+g+r+i,5000.0,-1.0,MS,1,0.52,1.435,0.4072,0.0348,-13.25
no-u,CaHK+g+r+i,5000.0,-1.0,MS,2,0.5065,1.3491,0.3423,-0.168,-14.21
no-u,CaHK+g+r+i,5500.0,-3.0,RGB,0,0.4645,1.4275,0.6991,-0.9155,-11.66
no-u,CaHK+g+r+i,5500.0,-3.0,RGB,1,0.4705,1.4077,0.6029,0.8939,-13.83
no-u,CaHK+g+r+i,5500.0,-3.0,RGB,2,0.3965,1.8888,0.7863,-0.308,-11.69
no-u,CaHK+g+r+i,5500.0,-3.0,MS,0,0.2465,1.9597,0.7678,0.1668,-12.23
no-u,CaHK+g+r+i,5500.0,-3.0,MS,1,0.2185,1.8334,0.87,-0.1316,-11.37
no-u,CaHK+g+r+i,5500.0,-3.0,MS,2,0.222,1.7607,0.6827,-0.6709,-11.84
no-u,CaHK+g+r+i,5500.0,-2.0,RGB,0,0.387,2.0255,0.6173,-0.3199,-12.52
no-u,CaHK+g+r+i,5500.0,-2.0,RGB,1,0.248,1.9314,0.7162,-0.5116,-12.13
no-u,CaHK+g+r+i,5500.0,-2.0,RGB,2,0.2215,1.8778,0.7846,-0.8791,-11.22
no-u,CaHK+g+r+i,5500.0,-2.0,MS,0,0.3045,1.7459,0.3646,0.0879,-13.33
no-u,CaHK+g+r+i,5500.0,-2.0,MS,1,0.5905,1.3936,0.3875,0.1847,-13.36
no-u,CaHK+g+r+i,5500.0,-2.0,MS,2,0.296,1.8135,0.7668,-0.774,-13.39
no-u,CaHK+g+r+i,5500.0,-1.0,RGB,0,0.536,1.3894,0.3121,-0.1994,-13.93
no-u,CaHK+g+r+i,5500.0,-1.0,RGB,1,0.567,1.4243,0.3667,0.0323,-13.4
no-u,CaHK+g+r+i,5500.0,-1.0,RGB,2,0.5195,1.3555,0.3446,-0.1504,-13.38
no-u,CaHK+g+r+i,5500.0,-1.0,MS,0,0.5005,1.256,0.3061,0.0174,-13.91
no-u,CaHK+g+r+i,5500.0,-1.0,MS,1,0.575,1.4507,0.396,0.4618,-12.58
no-u,CaHK+g+r+i,5500.0,-1.0,MS,2,0.598,1.3706,0.3341,-0.2646,-13.04
