config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
gri,g+r+i,5500.0,-3.0,RGB,1,0.4015,1.506,1.1614,-0.4511,-11.5
gri,g+r+i,5500.0,-3.0,RGB,2,0.3585,1.6464,1.3845,0.2883,-10.44
gri,g+r+i,5500.0,-3.0,MS,0,0.351,1.8097,1.1799,-0.2543,-10.63
gri,g+r+i,5500.0,-3.0,MS,1,0.352,1.829,1.4319,0.1823,-9.85
gri,g+r+i,5500.0,-3.0,MS,2,0.364,1.7667,1.161,-0.4287,-10.75
gri,g+r+i,5500.0,-2.0,RGB,0,0.442,1.7002,1.3942,-0.5919,-9.94
gri,g+r+i,5500.0,-2.0,RGB,1,0.293,1.8282,1.5144,-0.6173,-10.12
gri,g+r+i,5500.0,-2.0,RGB,2,0.3725,1.5253,1.3994,-0.3952,-10.26
gri,g+r+i,5500.0,-2.0,MS,0,0.417,1.8368,1.272,-0.8191,-10.78
gri,g+r+i,5500.0,-2.0,MS,1,0.3845,1.7802,1.4454,-0.7206,-10.26
gri,g+r+i,5500.0,-2.0,MS,2,0.492,1.7752,1.6138,0.3861,-10.79
gri,g+r+i,5500.0,-1.0,RGB,0,0.352,1.8386,1.1629,-2.0253,-10.67
gri,g+r+i,5500.0,-1.0,RGB,1,0.357,1.8892,1.4194,-0.1257,-10.21
gri,g+r+i,5500.0,-1.0,RGB,2,0.3285,1.8647,1.4654,-1.6438,-10.05
gri,g+r+i,5500.0,-1.0,MS,0,0.456,1.6089,1.2648,-2.0844,-10.76
gri,g+r+i,5500.0,-1.0,MS,1,0.291,1.8385,1.435,-1.4748,-10.25
gri,g+r+i,5500.0,-1.0,MS,2,0.421,1.761,1.6033,-1.0912,-10.16
