config,bands,teff,feh,class,seed,p_dwarf,sig_logg,sig_feh,feh_err,logz
no-cahk,u+g+r+i,5000.0,-1.0,RGB,2,0.3685,1.6305,0.501,-0.6676,-13.05
no-cahk,u+g+r+i,5000.0,-1.0,MS,0,0.4845,1.8628,0.2587,0.4566,-14.84
no-cahk,u+g+r+i,5000.0,-1.0,MS,1,0.5595,1.6383,0.3583,0.0745,-12.88
no-cahk,u+g+r+i,5000.0,-1.0,MS,2,0.475,1.4453,0.4137,-0.6093,-13.2
no-cahk,u+g+r+i,5500.0,-3.0,RGB,0,0.4155,1.5874,0.9147,-0.1247,-11.58
no-cahk,u+g+r+i,5500.0,-3.0,RGB,1,0.3145,1.6239,0.9871,0.9188,-13.32
no-cahk,u+g+r+i,5500.0,-3.0,RGB,2,0.391,1.4587,0.9143,-0.6104,-11.13
no-cahk,u+g+r+i,5500.0,-3.0,MS,0,0.356,1.7628,0.8913,-0.4157,-11.26
no-cahk,u+g+r+i,5500.0,-3.0,MS,1,0.3215,1.893,0.9256,0.1819,-10.99
no-cahk,u+g+r+i,5500.0,-3.0,MS,2,0.419,1.4137,0.7705,-0.7385,-12.23
no-cahk,u+g+r+i,5500.0,-2.0,RGB,0,0.3465,1.7618,0.9294,0.4492,-11.87
no-cahk,u+g+r+i,5500.0,-2.0,RGB,1,0.287,1.8906,0.8744,-1.2767,-11.12
no-cahk,u+g+r+i,5500.0,-2.0,RGB,2,0.3065,1.6982,0.784,-1.5878,-11.32
no-cahk,u+g+r+i,5500.0,-2.0,MS,0,0.289,1.8086,0.9672,-0.5899,-11.83
no-cahk,u+g+r+i,5500.0,-2.0,MS,1,0.337,1.8518,0.8421,0.0607,-11.89
no-cahk,u+g+r+i,5500.0,-2.0,MS,2,0.3825,1.7426,0.871,-1.6256,-12.48
no-cahk,u+g+r+i,5500.0,-1.0,RGB,0,0.2305,1.7489,0.9626,-1.8661,-11.64
no-cahk,u+g+r+i,5500.0,-1.0,RGB,1,0.5265,1.4847,0.5226,-0.125,-12.58
no-cahk,u+g+r+i,5500.0,-1.0,RGB,2,0.357,1.6162,0.8071,-0.4554,-12.29
no-cahk,u+g+r+i,5500.0,-1.0,MS,0,0.3,1.7041,0.8111,-0.8051,-12.44
no-cahk,u+g+r+i,5500.0,-1.0,MS,1,0.4315,1.6466,0.3826,0.1366,-12.34
no-cahk,u+g+r+i,5500.0,-1.0,MS,2,0.309,1.8869,0.338,-0.0167,-12.58
