config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
mixture_none,mixture,none,RGB,-2.5,0.455,56,0.5011,-2.38,-2.48,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.455,57,0.0416,-2.0,-2.32,-1.7,0
mixture_none,mixture,none,RGB,-2.5,0.455,58,0.2026,-2.38,-2.48,-2.18,0
mixture_none,mixture,none,RGB,-2.5,0.455,59,0.2933,-2.36,-2.46,-2.14,0
mixture_none,mixture,none,MS,-2.5,0.455,0,0.4016,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,MS,-2.5,0.455,1,0.3957,-2.3,-2.44,-2.08,1
mixture_none,mixture,none,MS,-2.5,0.455,2,0.3027,-2.34,-2.46,-2.08,1
mixture_none,mixture,none,MS,-2.5,0.455,3,0.3305,-2.36,-2.46,-2.14,1
mixture_none,mixture,none,MS,-2.5,0.455,4,0.094,-2.22,-2.42,-1.92,1
mixture_none,mixture,none,MS,-2.5,0.455,5,0.4986,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,MS,-2.5,0.455,6,0.4076,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,MS,-2.5,0.455,7,0.1585,-2.16,-2.4,-1.86,1
mixture_none,mixture,none,MS,-2.5,0.455,8,0.7913,-2.4,-2.48,-2.3,0
mixture_none,mixture,none,MS,-2.5,0.455,9,0.3225,-2.36,-2.46,-2.12,1
mixture_none,mixture,none,MS,-2.5,0.455,10,0.611,-2.3,-2.44,-2.14,0
mixture_none,mixture,none,MS,-2.5,0.455,11,0.1272,-2.24,-2.44,-1.96,1
mixture_none,mixture,none,MS,-2.5,0.455,12,0.6726,-2.42,-2.48,-2.32,0
mixture_none,mixture,none,MS,-2.5,0.455,13,0.8176,-2.38,-2.48,-2.22,0
mixture_none,mixture,none,MS,-2.5,0.455,14,0.1235,-2.28,-2.46,-2.0,1
mixture_none,mixture,none,MS,-2.5,0.455,15,0.0727,-2.24,-2.44,-1.94,1
mixture_none,mixture,none,MS,-2.5,0.455,16,0.818,-2.44,-2.48,-2.34,0
mixture_none,mixture,none,MS,-2.5,0.455,17,0.7034,-2.4,-2.48,-2.26,0
mixture_none,mixture,none,MS,-2.5,0.455,18,0.4582,-2.4,-2.48,-2.22,1
mixture_none,mixture,none,MS,-2.5,0.455,19,0.4175,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,MS,-2.5,0.455,20,0.2584,-2.34,-2.46,-2.06,1
mixture_none,mixture,none,MS,-2.5,0.455,21,0.7145,-2.4,-2.48,-2.26,0
mixture_none,mixture,none,MS,-2.5,0.455,22,0.5407,-2.38,-2.46,-2.22,0
mixture_none,mixture,none,MS,-2.5,0.455,23,0.1145,-2.1,-2.36,-1.78,1
mixture_none,mixture,none,MS,-2.5,0.455,24,0.3612,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,MS,-2.5,0.455,25,0.1065,-2.06,-2.34,-1.76,1
mixture_none,mixture,none,MS,-2.5,0.455,26,0.1199,-2.16,-2.4,-1.86,1
mixture_none,mixture,none,MS,-2.5,0.455,27,0.0103,-1.86,-2.16,-1.6,1
mixture_none,mixture,none,MS,-2.5,0.455,28,0.1449,-2.2,-2.42,-1.9,1
mixture_none,mixture,none,MS,-2.5,0.455,29,0.0054,-1.82,-2.14,-1.58,1
mixture_none,mixture,none,MS,-2.5,0.455,30,0.7967,-2.42,-2.48,-2.3,0
mixture_none,mixture,none,MS,-2.5,0.455,31,0.011,-1.74,-2.06,-1.46,1
mixture_none,mixture,none,MS,-2.5,0.455,32,0.3391,-2.24,-2.42,-2.0,1
mixture_none,mixture,none,MS,-2.5,0.455,33,0.6822,-2.34,-2.46,-2.18,0
mixture_none,mixture,none,MS,-2.5,0.455,34,0.7835,-2.36,-2.46,-2.2,0
mixture_none,mixture,none,MS,-2.5,0.455,35,0.0911,-2.08,-2.36,-1.78,1
mixture_none,mixture,none,MS,-2.5,0.455,36,0.1071,-2.36,-2.48,-2.16,1
mixture_none,mixture,none,MS,-2.5,0.455,37,0.4759,-2.32,-2.44,-2.12,1
mixture_none,mixture,none,MS,-2.5,0.455,38,0.5876,-2.36,-2.46,-2.2,0
mixture_none,mixture,none,MS,-2.5,0.455,39,0.0046,-2.26,-2.44,-2.02,1
mixture_none,mixture,none,MS,-2.5,0.455,40,0.0734,-2.24,-2.44,-1.98,1
mixture_none,mixture,none,MS,-2.5,0.455,41,0.0542,-2.0,-2.32,-1.7,1
mixture_none,mixture,none,MS,-2.5,0.455,42,0.4878,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,MS,-2.5,0.455,43,0.1544,-2.14,-2.38,-1.82,1
mixture_none,mixture,none,MS,-2.5,0.455,44,0.5203,-2.38,-2.48,-2.22,0
mixture_none,mixture,none,MS,-2.5,0.455,45,0.6496,-2.4,-2.48,-2.3,0
mixture_none,mixture,none,MS,-2.5,0.455,46,0.015,-1.7,-2.0,-1.44,1
mixture_none,mixture,none,MS,-2.5,0.455,47,0.6235,-2.32,-2.46,-2.16,0
mixture_none,mixture,none,MS,-2.5,0.455,48,0.4038,-2.36,-2.46,-2.16,1
mixture_none,mixture,none,MS,-2.5,0.455,49,0.7038,-2.44,-2.5,-2.34,0
mixture_none,mixture,none,MS,-2.5,0.455,50,0.202,-2.32,-2.46,-2.06,1
mixture_none,mixture,none,MS,-2.5,0.455,51,0.1071,-2.14,-2.38,-1.84,1
mixture_none,mixture,none,MS,-2.5,0.455,52,0.1914,-2.24,-2.42,-1.92,1
mixture_none,mixture,none,MS,-2.5,0.455,53,0.2829,-2.38,-2.48,-2.14,1
mixture_none,mixture,none,MS,-2.5,0.455,54,0.1559,-2.24,-2.44,-1.96,1
mixture_none,mixture,none,MS,-2.5,0.455,55,0.2247,-2.24,-2.42,-1.96,1
mixture_none,mixture,none,MS,-2.5,0.455,56,0.1982,-2.24,-2.44,-1.94,1
mixture_none,mixture,none,MS,-2.5,0.455,57,0.1629,-2.2,-2.42,-1.9,1
mixture_none,mixture,none,MS,-2.5,0.455,58,0.0054,-1.98,-2.26,-1.76,1
mixture_none,mixture,none,MS,-2.5,0.455,59,0.7498,-2.4,-2.48,-2.26,0
mixture_none,mixture,none,RGB,-2.5,0.537,0,0.8765,-2.38,-2.48,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.537,1,0.7917,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.537,2,0.718,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,RGB,-2.5,0.537,3,0.7694,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.537,4,0.5316,-2.24,-2.42,-2.04,1
mixture_none,mixture,none,RGB,-2.5,0.537,5,0.2262,-2.06,-2.3,-1.8,0
mixture_none,mixture,none,RGB,-2.5,0.537,6,0.8024,-2.36,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,7,0.691,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,RGB,-2.5,0.537,8,0.5753,-2.28,-2.44,-2.08,1
mixture_none,mixture,none,RGB,-2.5,0.537,9,0.8773,-2.4,-2.48,-2.24,1
mixture_none,mixture,none,RGB,-2.5,0.537,10,0.6876,-2.28,-2.44,-2.08,1
mixture_none,mixture,none,RGB,-2.5,0.537,11,0.9068,-2.4,-2.48,-2.26,1
mixture_none,mixture,none,RGB,-2.5,0.537,12,0.8383,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.537,13,0.8481,-2.38,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,14,0.7634,-2.36,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.537,15,0.8279,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.537,16,0.7737,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.537,17,0.5872,-2.28,-2.44,-2.06,1
mixture_none,mixture,none,RGB,-2.5,0.537,18,0.4195,-2.1,-2.34,-1.9,0
mixture_none,mixture,none,RGB,-2.5,0.537,19,0.6472,-2.32,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.537,20,0.8637,-2.36,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,21,0.5996,-2.24,-2.42,-2.02,1
mixture_none,mixture,none,RGB,-2.5,0.537,22,0.6116,-2.3,-2.44,-2.1,1
mixture_none,mixture,none,RGB,-2.5,0.537,23,0.7611,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,RGB,-2.5,0.537,24,0.4995,-2.2,-2.4,-2.0,0
mixture_none,mixture,none,RGB,-2.5,0.537,25,0.8202,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.537,26,0.4518,-2.2,-2.4,-2.0,0
mixture_none,mixture,none,RGB,-2.5,0.537,27,0.7909,-2.36,-2.46,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,28,0.7201,-2.32,-2.46,-2.1,1
mixture_none,mixture,none,RGB,-2.5,0.537,29,0.9419,-2.4,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.537,30,0.7542,-2.3,-2.44,-2.1,1
mixture_none,mixture,none,RGB,-2.5,0.537,31,0.7534,-2.32,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.537,32,0.7154,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.537,33,0.4507,-2.1,-2.34,-1.9,0
mixture_none,mixture,none,RGB,-2.5,0.537,34,0.8689,-2.38,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,35,0.8502,-2.36,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,36,0.7534,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.537,37,0.0904,-1.96,-2.26,-1.66,0
mixture_none,mixture,none,RGB,-2.5,0.537,38,0.6712,-2.32,-2.46,-2.1,1
mixture_none,mixture,none,RGB,-2.5,0.537,39,0.6986,-2.32,-2.46,-2.12,1
mixture_none,mixture,none,RGB,-2.5,0.537,40,0.8916,-2.4,-2.48,-2.24,1
mixture_none,mixture,none,RGB,-2.5,0.537,41,0.7391,-2.34,-2.46,-2.16,1
mixture_none,mixture,none,RGB,-2.5,0.537,42,0.5887,-2.28,-2.44,-2.08,1
mixture_none,mixture,none,RGB,-2.5,0.537,43,0.7174,-2.3,-2.44,-2.1,1
mixture_none,mixture,none,RGB,-2.5,0.537,44,0.5413,-2.28,-2.44,-2.08,1
mixture_none,mixture,none,RGB,-2.5,0.537,45,0.8379,-2.36,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,46,0.7338,-2.34,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.537,47,0.7399,-2.32,-2.46,-2.14,1
mixture_none,mixture,none,RGB,-2.5,0.537,48,0.5109,-2.24,-2.42,-2.04,1
mixture_none,mixture,none,RGB,-2.5,0.537,49,0.9253,-2.42,-2.48,-2.28,1
mixture_none,mixture,none,RGB,-2.5,0.537,50,0.7966,-2.36,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.537,51,0.9387,-2.4,-2.48,-2.26,1
mixture_none,mixture,none,RGB,-2.5,0.537,52,0.5601,-2.2,-2.4,-1.98,1
mixture_none,mixture,none,RGB,-2.5,0.537,53,0.9165,-2.42,-2.48,-2.3,1
mixture_none,mixture,none,RGB,-2.5,0.537,54,0.6661,-2.34,-2.46,-2.18,1
mixture_none,mixture,none,RGB,-2.5,0.537,55,0.8722,-2.38,-2.48,-2.22,1
mixture_none,mixture,none,RGB,-2.5,0.537,56,0.8534,-2.38,-2.48,-2.2,1
mixture_none,mixture,none,RGB,-2.5,0.537,57,0.463,-2.2,-2.4,-2.0,0
mixture_none,mixture,none,RGB,-2.5,0.537,58,0.3208,-1.96,-2.22,-1.78,0
mixture_none,mixture,none,RGB,-2.5,0.537,59,0.8677,-2.38,-2.48,-2.24,1
mixture_none,mixture,none,MS,-2.5,0.537,0,0.7495,-2.34,-2.46,-2.16,0
mixture_none,mixture,none,MS,-2.5,0.537,1,0.5224,-2.2,-2.4,-1.98,0
mixture_none,mixture,none,MS,-2.5,0.537,2,0.8177,-2.34,-2.46,-2.16,0
